,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
21863,CNC(=O)Cc1ccccc1CNC(=O)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,1.48,0.08,,,483.16,3,7,6,126.95250000000003,141.59,1.4838999999999993
21864,CNC(=O)CCN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,2.71,0.9949,,,430.09,3,4,5,113.62260000000002,94.30000000000001,2.7066000000000017
21865,CNC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,2.32,0.9955,,,416.07,3,4,4,109.0056,94.30000000000001,2.3165000000000004
21866,CNC(=O)CN1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)CC1,3.76,0.027,,,473.16,2,7,7,124.93940000000002,88.61000000000001,3.763700000000002
21867,CNC(=O)N(Cc1ccsc1)C1CCN(C(C)CCNC(=O)c2c(C)cc(Cl)nc2C)CC1,4.23,0.46,,,491.21,2,5,8,134.04589999999996,77.57000000000001,4.227740000000003
21868,CNC(=O)N1CC=C(c2cc3c(-c4cc(F)ccc4OC)ccnc3[nH]2)CC1,3.81,0.008,,,380.16,2,3,3,106.66240000000002,70.25,3.8061000000000016
21869,CNC(=O)N1CCc2c(c(-c3cccc4cc(-c5cnn(C)c5)c(C(F)F)cc34)nn2C2CCOCC2)C1,5.09,0.16,,,520.24,1,6,4,139.9876999999999,77.21000000000001,5.090400000000004
21870,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,4.35,0.16,,,525.27,1,7,4,138.8146999999999,80.45,4.354500000000004
21871,CNC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2)CC1,1.61,0.126,,,357.14,2,7,4,95.65440000000002,97.18,1.6103799999999993
21872,CNC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2C)CC1,1.92,0.087,,,371.15,2,7,4,100.39140000000003,97.18,1.9187999999999994
